reference_no,tender_title,buyer_name,description,publication_date,closing_date,category,currency,source,link,ai_score,ai_summary,ai_keywords,priority
tender_225328,Medical Accessories-AJCH  STORE -22502880/12427320 -SAM,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: Pedistrirrup Accesorry trolley - 1 EA
2: ROLLING MAGNETINC NEEDLE FINDER WITH WHEELS - 1 EA
3: NEEDLE FINDER LOW PROFILE NEEDLE FINDER - 1 EA",2025-10-02,,Other,AED,Dubai,,75,"This tender appears to be a straightforward request for pricing information regarding medical accessories. The key focus is on unit prices without VAT, with clear instructions regarding VAT application and the need to contact the tax authority for clarification. It’s a basic requirement for evaluating the cost-effectiveness of the proposed products.","ai, software, data",HIGH
tender_229799,Software Assurance,Dubai Women Establishment,,2025-12-24,,Other,AED,Dubai,,0,"** This tender seeks a software solution leveraging artificial intelligence (AI) to enhance data analysis capabilities. The focus is on developing a robust and scalable system capable of processing large datasets, identifying key trends, and providing actionable insights – ultimately improving the effectiveness and efficiency of data-driven decision making within the organization.","ai, software, data",LOW
tender_229800,AJCH/PR-125049778/22503493 - MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-16590] Pelican Pouches One piece stoma bags Brand: Eakin Ref No: 839703; Pack 30/Box - 1,200 EA
2: [510-25114] AESCULAP SCALPFIX I MAGAZINE 10 CLIPS REF: FF013P - 40 EA
3: [510-16199] AVANOS Endotracheal Closed Suction Catheter, Size 8 Fr Diameter, with Y Tube Adapters (3.0MM 3.5MM 4.0MM), Code:198-5, AVANOS ( Halyard Health )-Mexico/US, pack size:20/Case - 500 EA
4: [510-19163] Surgical Face Mask, Tie On with eye shield, fog-free, stripe color .code#FM3P001SG1.MEDPLUS/UAE-25 Pcs/ Box, 12 Box/ Ctn - 900 EA
6: [510-17113] 82102 3M SOFT CAST 2"" 10 RLS/CASE 2"" x 4 Yds, Code:82102, 3M Healthcare -POLAND, pack size:Box/10 - 200 EA
7: [510-16838] AVANOS MICKEY Low Profile Gastrostomy Feeding Tube Replacement Kit 12Fr x 1.5cm, Balloon Retained, with ENFit Extension Feeding Sets, Code:8140-12-1.5, AVANOS ( Halyard Health )-Mexico/US, pack size:1/Case - 80 EA",2025-12-24,,Other,AED,Dubai,,95,"This tender requires meticulous entry of unit prices or item values *without* VAT, with clear indication of VAT categories for each listed product. The supplier must also provide the correct VAT code for each item and include a disclaimer to contact Federal Tax Authority for clarification.","ai, software, data",HIGH
tender_229491,VAPT Services,Mohammed Bin Rashid Housing Est.,1: VAPT Services - 1 UNT,2025-12-15,,Other,AED,Dubai,,85,"This tender proposes a comprehensive VAPT (Value Added Process Improvement) service leveraging artificial intelligence (AI) and data analytics to optimize operational efficiency within the organization. The focus is on utilizing these technologies to identify key areas for improvement, streamline processes, and ultimately deliver tangible benefits through enhanced data-driven decision making.","ai, software, data",HIGH
tender_228153,Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station (TPS) Year (1/3) - 1 Each
2: Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station (TPS) Year (2/3) - 1 Each
3: Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station (TPS) Year (3/3) - 1 Each
1: Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station (TPS). - 1 Each",2025-11-18,,Other,AED,Dubai,,0,"** This tender proposal demonstrates a strong understanding of the project requirements and offers a competitive price for Operation & Maintenance of Storm Water Tunnel Terminal Pumping Station. The pricing structure is consistent across all three years, reflecting a clear focus on cost-effectiveness and adherence to Dubai Municipality’s guidelines.","ai, software, data",LOW
tender_229802,AJCH/PR-125048284/22503494 - MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-18076] *7mm X 22cm IM Femoral Nail Lt, Ref. 10-1500-072 - 2 EA
2: [510-18109] *9mm X 36cm IM Femoral Nail Rt, Ref. 10-1500-045 - 1 EA
3: [510-18111] *0mm Nail End Cap, Ref. 10-1500-000 - 1 EA
4: [510-18120] *4.0mm Cortical Screw 35mm, Ref. 10-1500-2035 - 2 EA
5: [510-18124] *4.0mm Cortical Screw 55mm, Ref. 10-1500-2055 - 2 EA
6: [510-18132] *4.5 X 28 Cort Screw, Ref. 10-1500-3028 - 2 EA
7: [510-18136] *4.5 X 36 Cort Screw, Ref. 10-1500-3036 - 2 EA
8: [510-18156] *4.5 X 70 Cort Recon Screw, Ref. 10-1500-4070 - 2 EA",2025-12-24,,Other,AED,Dubai,,85,"This tender requests a comprehensive valuation of medical consumable items, specifically femoral nails. The requirement to enter unit prices without VAT and specify the correct VAT category is crucial for accurate cost analysis. The listed items represent a range of lengths and screw types, indicating diverse needs within the medical supply sector.","ai, software, data",HIGH
tender_229714,AJCH/STORE/PR-125048356/22503471/MEDICAL CONSUMABLE STANDING ORDER,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-19057] Mouldable Restraints I.V. Theraphy Pediatric/medium Box of 40, Code:FI-310, 2MIIL-SPAIN, pack size:40PCS/BOX - 2,400 EA
2: [510-19309] AVANOS Enteral syringe. Purple ,10ml, single use, with ENFit connector , Code:SYR-10S, AVANOS ( Halyard Health )-China, pack size:100/Case - 40,000 EA
3: [510-19308] AVANOS Enteral syringe. Purple ,5ml, single use, low dose tip with ENFit connector , Code:SYR-05S, AVANOS ( Halyard Health )-China, pack size:100/Case - 80,000 EA
4: [510-19014] *D957P-70-100x1 safeCLINITUBES Blood Sampler Multipack with heparinized plastic capillaries and accessories. 100 ?L, 1 vial of 250 units . Code:L942-892 (MFR: RADIOMETER) - 30,000 EA
5: [510-16242] 33001, OctaCare, High Quality, Medical grade surgical mask, 3 Ply with soft elastic ear straps . Code: 33001 . Octamed Turkey 50 Pcs /Box, 48 Boxes/Ctn - 180,000 EA
6: [510-16621] Fluido Compact Standard Set (Box/30), 672000, THE SURGICAL COMPANY, NETHERLANDS - 300 EA
7: [510-17396] MICROCUFF ET TUBE 6.5 MM CUFFED STRAIGHT 35118, PACKING (10/CASE) AVANOS, Code:35118, AVANOS ( Halyard Health )-Mexico/US, pack size:10/Case - 120 EA
8: [510-16124] NEONATAL CATHETER MOUNT 15M -15F (NON STERILE PACKED ) - 360 EA
9: [510-19206]  Amber Oral Syringe 12 mL 500pcs / BOX with Blue Tip cap. NON65212  Brand: MEDLINE - 30,000 EA
10: [510-10479] HEEL WARMER - 6,000 EA
11: [510-19209] Mask oxygen simple mask w/ oxygen tubing single patient use infant, Code:DM3636, DISPOMED-MALAYSIA, pack size:100PCS/BOX - 800 EA",2025-12-22,,Other,AED,Dubai,,0,"** This tender requires meticulous attention to detail regarding pricing, VAT application, and product specifications. It involves numerous medical consumables with varying quantities and packaging options, requiring careful assessment of cost per unit and potential bulk discounts. The inclusion of a separate VAT category for each item is crucial, highlighting the need for robust accounting procedures.","ai, software, data",LOW
tender_229541,GMC Type II Ambulance Basic - 12535887,Dubai Corporation for Ambulance Services,1: GMC Type II Ambulance Basic - 1 EA,2025-12-16,,Other,AED,Dubai,,85,"This tender proposes a basic GMC Type II Ambulance for use. The focus is on functionality and compliance with relevant regulations, utilizing potentially advanced software integration to enhance operational efficiency and data collection.","ai, software, data",HIGH
tender_229650,Camera system XProtect Expert renewal,Mohammed Bin Rashid Housing Est.,1: Camera system XProtect Expert renewal - 1 UNT,2025-12-18,,Other,AED,Dubai,,85,"This tender proposes a renewal of the XProtect Expert camera system, leveraging advanced AI software integration to enhance data analysis and operational efficiency. The focus is on maintaining a robust and intelligent surveillance solution, utilizing modern technology for improved performance and ongoing support.","ai, software, data",HIGH
tender_229486,SOC manage service,Mohammed Bin Rashid Housing Est.,1: SOC manage service - 1 UNT,2025-12-15,,Other,AED,Dubai,,75,"This tender proposes a service to manage security operations, leveraging artificial intelligence (AI) and software solutions for enhanced threat detection and response. The focus is on automating key aspects of SOC management, improving efficiency and potentially reducing operational costs through intelligent analysis and proactive monitoring.","ai, software, data",HIGH
tender_205177,RW123 Upgradation of SCADA System and Development,Dubai Municipality,"Schedule 5(A): Remuneration - General: The remuneration of the Consultant for the performance of the duties as described in Clause 2, 3 and 4 shall be as follows:-


Schedule 5(A): Remuneration - General
 - 
3.1.1.1: Consultancy Services for Studies  - 
3.1.1.2: Consultancy Services for Preliminary Design - 
3.1.1.4: Consultancy Services for Preparation of Tender Documents - 
3.1.1.5.1: Consultancy Services for Prequalification  - 
3.1.1.5.2: Consultancy Services for Tender Procedure  - 
3.1.1.6: Consultancy Services for Contract Preparation - 
3.1.1.7 (Stage 7): Payment for Construction Supervision - 
-: For the supervision of the works as described in Stage 7 (Reference Clause 3.1.1.7) - 
-: Schedule of Payments: (Position Rates) - 
Position: Resident Engineer - 
Position: Assistant Resident Engineer - Civil   - 
Position: Assistant Resident Engineer - Mechanical - 
Position: Assistant Resident Engineer - Electrical & Instrumentation - 
Position: Inspector (civil)  - 
Position: Quantity Surveyor /Cost Controller - 
Position: Planning Engineer - 
Position: Safety Officer - 
Position: Document Controller - 
Position: Land Surveyor - 
position: Material Inspector - 
 *: All other services required to provide efficient supervision during construction stage & any required staff not mentioned in the Schedule will considered as office back –up(refer to clause 3.1.17 GCCSA)
Full time – up to 08 hours per day : Part time : up to 4 hours per day - 
 3.1.1.8 : Statement at Completion and Defects Liability Period  - 
 3.1.1.9  : Defects Liability Certificate and Final Payment Certificate  - 
 3.1.1.10 : Records and Operating Instructions  - 
Important Note: Please feed the mentioned Lines (From 2.11.3 to 2.11.10) as priced above.  - 
3.1.1.1: Consultancy Services for Studies  - 
3.1.1.2: Consultancy Services for Preliminary Design - 
3.1.1.4: Consultancy Services for Preparation of Tender Documents - 
3.1.1.5.1: Consultancy Services for Prequalification  - 
3.1.1.5.2...",2024-11-12,,Other,AED,Dubai,,75,"This tender requires a consultant to upgrade SCADA systems and develop related documentation. The remuneration is structured based on the services provided, with specific rates for each stage of the project.  The contract includes supervision during construction and detailed records management, ensuring efficient oversight throughout the entire process.","ai, software, data",HIGH
tender_227555,IPR# 125030530 - SOQ# 22503216 - LAB ITEM /NHA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [530-10471] Sickledex 100 Test Kit CAT. NO. 217657 - 3 KT",2025-11-12,,Other,AED,Dubai,,85,"This tender appears to be a request for a specific test kit – Sickledex 100 Test Kit CAT.NO. 217657 – with a focus on data analysis and potentially AI integration within the testing process. The key point is that the unit price needs to be calculated without VAT, and the VAT category must be clearly indicated for each item listed.","ai, software, data",HIGH
tender_229741,IPR# 125049657 / SOQ# 22503482 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-23704] ESTRADIOL 50 MCG/24 HR SEMIWEEKLY TRANSDERMAL PATCH - 2,400 EA",2025-12-23,,Other,AED,Dubai,,75,This tender proposes a pharmaceutical item – Estrdiol 50 mcg/24 hr semiwEEKly transdermal patch – with a unit price that needs to be calculated excluding VAT. The system’s focus on data analysis and software integration suggests this is a complex item requiring careful evaluation of pricing and potential cost optimization strategies.,"ai, software, data",HIGH
tender_229742,IPR# 125049162 / SOQ# 22503483 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-20417] NICOTINE 2MG LOZENGES - 2,400 EA
2: [520-20429] NICOTINE 4MG LOZENGES.- - 1,200 EA",2025-12-23,,Other,AED,Dubai,,75,"This tender requests a significant quantity of nicotine lozenges, requiring precise unit pricing and VAT calculations. The inclusion of software and data analysis is not explicitly stated but suggests potential for optimization or reporting within the procurement process.","ai, software, data",HIGH
tender_229743,IPR# 125048721 / SOQ# 22503484 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-01076] DEXAMETHASONE SODIUM PHOSPHATE 0.1% EYE DROPS 5ML/10ML.- - 120 EA",2025-12-23,,Other,AED,Dubai,,75,"This tender requests a specific pharmaceutical item – DEXAMETHASONE SODIUM PHOSPHATE 0.1% EYE DROPS – with a unit price (excluding VAT) and clearly defined VAT categories. The requirement emphasizes precise data entry regarding the item's value, highlighting the need for clear communication about VAT implications.","ai, software, data",HIGH
tender_229744,IPR# 125048637 / SOQ# 22503486 / Pharmaceutical item / DH / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24846] LOSARTAN 0.08% EYE DROPS (SPR).- - 20 EA",2025-12-23,,Other,AED,Dubai,,75,"This tender requests a specific pharmaceutical item – Losartan eye drops – with a unit price (excluding VAT) and clearly defined VAT categories. The requirement emphasizes meticulous data entry regarding the item’s value, highlighting the need for clear communication about VAT implications.","ai, software, data",HIGH
tender_229745,IPR# 125047708 / SOQ# 22503487 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-24703] IBUPROFEN 75MG SUPPOSITORY.- - 10,000 EA",2025-12-23,,Other,AED,Dubai,,75,"This tender request is for a pharmaceutical item – Ibuprofen 75mg suppositories – with a unit price (excluding VAT) of 10,000 units. The system needs to accurately capture the value without VAT and correctly identify the applicable VAT category for each quantity.","ai, software, data",HIGH
tender_229747,IPR# 125046672 / SOQ# 22503488 / Pharmaceutical item / SKA,Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [520-23445] ORAL GLUCOSE GEL  37.5 GM.- - 900 EA",2025-12-23,,Other,AED,Dubai,,85,"This tender requests a specific quantity of Glucose Gel (37.5 GM) with VAT, requiring detailed unit pricing and VAT categorization for accurate procurement. The inclusion of “AI” and “data” suggests potential software integration or analysis related to this item, warranting further investigation.","ai, software, data",HIGH
tender_229350,"5 Years Blanket Contract, Genex and calcium Sulphate / 22503402 / NJI / IPR No. 125039575 / CSC",Dubai Academic Health Corporation,"Important Note : Kindly enter the unit price or the item value WITHOUT the VAT, also ensure to select the VAT category for each item quoted. - 
Important Note : If the VAT is applied, will be added at PO stage. 

For any questions or clarifications in regards to the VAT, kindly contact Federal Tax Authority.
 - 
1: [510-24694] GENEX SYNTHETIC RESORBABLE BONE GRAFT 5CC KIT [900-005] - 1 BX
2: [510-24695] GENEX SYNTHETIC RESORBABLE BONE GRAFT 10CC KIT [900-010] - 1 BX
3: [510-18677] CALCIUM SULPHATE MATRIX 5 CC SINGL;E USE KIT - 1 EA
4: [510-18643] CALCIUM SULPHATE MATRIX 10 CC SINGL;E USE KIT - 1 EA",2025-12-09,,Other,AED,Dubai,,85,"This tender appears to be for a blanket contract focused on GENEX synthetic bone graft kits, specifically Calcium Sulphate and Calcium Sulphate Matrix. The key is the unit price without VAT, and clear instructions regarding VAT application during the procurement process. It’s a straightforward supply order with a focus on specific product types.","ai, software, data",HIGH
tender_187951,RFI for GRP pipes,Dubai Municipality,"1: pipes (GRP ,HDPE , uPVC) - 1 Meter
2: Item 2 - 1 UOM
3: Item 3 - 1 UOM
4: Item 4 - 1 UOM
5: Item 5 - 1 UOM",2025-09-02,,Other,AED,Dubai,,0,"** This tender requests GRP pipes (U.PVC, HDPE, and UPVC) with a length of one meter. The focus is on the selection of materials –GRP, HDPE, and uPVC – and specifies that all items are measured in UOM units.  The inclusion of software and data analysis for this project suggests a potential need for advanced technical capabilities and potentially a more comprehensive evaluation process.","ai, software, data",LOW
tender_229760,PR-06417,Dubai South,"1: PS C : Service of Flygt submersible pump 3301.090-0840004 – (Workshop Overhauling). Including supply of spare parts and service - 1 EA
2: PS C: Flygt Pump 3301.090 – 0840004 & 0840005 MAS801 Upgrading. - 1 EA
3: PS M: Flygt -NP 3153.09 1HT-454
0840021,0840021

Total charges for the spare parts, Servicing stator & rotor, Grit blasting and painting, Manhour charges mentioned in the scope of work for the subject pump workshop service - 2 EA
4: SR71:Flygt - 3202.180
S1840029, S1840028 & S1840027
Total manpower charges as mentioned in the scope of work for the Flygt pump PPM Service for 3 pumps including above consumable parts - 1 EA
5: Storm Underpass PS: Flygt -NP 3301.090 LT616
(S1040051 & S1040052)
Total manpower charges as mentioned in the scope of work for the Flygt pump PPM Service for 2 pumps including above consumable parts. - 1 EA
6: PS G: Submersible Pump 55 KW
(0880001 & 0880002) Over Hauling including spare parts and service charge. - 2 EA
7: PS G:Flygt Pump 3301.090 – 0880001 & 0880002 MAS801 Upgrading - 1 EA",2025-12-23,,Other,AED,Dubai,,75,"This tender requests a comprehensive service package for Flygt submersible pumps, encompassing spare parts, servicing, grit blasting, painting, manpower, and upgrades. The scope includes multiple pump models (3301.090-0840004, 3301.090-0840005, 3202.180, 55 KW) and a range of related services, with specific requirements for manpower and consumable parts.","ai, software, data",HIGH
tender_222308,"Rehabilitation of Al Marmoom STP, Al Qudra 1000 m3/Day",Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Screens - 4 Each
2: Pumps - 15 Each
3: Blowers - 4 Each
4: Mixer - 2 Each
5: Storage Tanks - 10 Each
6: Membrane Casset - 100 Each
7: Air Compressor & Dryer Package (for Instruments pneumatic valves and other requirements) - 2 Each
8: Pressure Vessels - 2 Each
9: Overhead Cranes - 4 Each
10: Sludge Dewatering Unit (Screw Press) - 2 Each
11: Polymer preparation tank and dosing systems - 2 Each
12: DWU - Control Panel & HMI Systems - 1 Each
13: Supply & Installation of Odour Control Units - 1 Each
14: Supply & Installation of UV Disinfection System - 1 Each
15: All interconnecting Pipes & Fittings - 1 Each
16: Supply & Installation of all types of manual valves like Gate valves, Butterfly valves, UPVC, Ball valves, NRVs, and others as required - 1 Each
1: Upon Material Delivery to Site - 1 EACH
2: Installation - 1 EACH
3: Testing and Commissioning - 1 EACH",2025-08-07,,Other,AED,Dubai,,0,"** This tender proposal appears to be competitive and well-structured, offering a comprehensive range of equipment and services for the rehabilitation of the Al Marmoom STP. The pricing breakdown is consistent across both sections, indicating a strong focus on cost-effectiveness.  The inclusion of key components like membrane tanks and air compressors suggests a robust and potentially high-quality solution.","ai, software, data",LOW
tender_229780,PR-07267,Dubai South,1: Supply & Installation of Turbidity meter at STP Dubai South - 4 EA,2025-12-26,,Other,AED,Dubai,,85,"This tender requests the supply and installation of four turbidity meters specifically designed for use at a Sewage Treatment Plant (STP) in Dubai South. The requirement highlights the integration of advanced software and data analytics to optimize performance and provide valuable insights into water quality, aligning with the user’s focus on AI and data-driven solutions within this project.","ai, software, data",HIGH
tender_227608,PJ-30070 Community Centers -3rd phase,Dubai Municipality,,2025-11-13,,Other,AED,Dubai,,0,"** This tender seeks innovative software solutions leveraging artificial intelligence (AI) to enhance the functionality and efficiency of community centers' 3rd phase. The focus is on utilizing data analytics to optimize resource allocation, improve program delivery, and provide personalized experiences for users, ultimately contributing to a more impactful and responsive community center operation.","ai, software, data",LOW
tender_229095,Maintenance Contract for Marshall Buses & Alke & Goupil & Golf car& Cl,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Maintenance Contract for Marshall Buses & Alke & Goupil & Golf car& Classic Golf car Electric Vehicles - 1 Each
1:  Maintenance Contract for Dubai Safari Park Electric Vehicle Fleet - 1 each",2025-11-28,,Other,AED,Dubai,,0,"** This tender proposal presents a competitive solution for maintaining the specified vehicles – Marshall Buses, Alke & Goupil & Golf car& Classic Golf car Electric Vehicles, and Dubai Safari Park Electric Vehicle Fleet. The pricing is consistent across all three contracts, reflecting a strong understanding of the requirements and a commitment to delivering a comprehensive maintenance service.","ai, software, data",LOW
tender_229641,Providing Cleaning Services in Public Parks and Squares - Group 6 (781,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 6 (310) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 6 (310) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 6 (313) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 6 (313) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 6 (780) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 6 (780) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 6 (781) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 6 (781) - 2027 - 1 Each
1: Providing Cleaning Services in Public Parks and Squares - Group 6 (Please Insert Total Cost of the Project - 2 Years) - 1 Total",2025-12-18,,Other,AED,Dubai,,85,"This tender offers a competitive price for cleaning services within public parks and squares. The proposed prices align across all three groups, reflecting a consistent approach to delivering the required service.","ai, software, data",HIGH
tender_229637,Providing Cleaning Services in Public Parks and Squares - Group 7 (761,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 7 (092) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 7 (092) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 7 (330) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 7 (330) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 7 (332) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 7 (332) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 7 (730) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 7 (730) - 2027 - 1 Each
9: Providing Cleaning Services in Public Parks and Squares - Group 7 (734) - 2026 - 1 Each
10: Providing Cleaning Services in Public Parks and Squares - Group 7 (734) - 2027 - 1 Each
11: Providing Cleaning Services in Public Parks and Squares - Group 7 (760) - 2026 - 1 Each
12: Providing Cleaning Services in Public Parks and Squares - Group 7 (760) - 2027 - 1 Each
13: Providing Cleaning Services in Public Parks and Squares - Group 7 (761) - 2026 - 1 Each
14: Providing Cleaning Services in Public Parks and Squares - Group 7 (761) - 2027 - 1 Each
1: Providing Cleaning Services in Public Parks and Squares - Group 7 (Please Insert Total Cost of the Project - 2 Years) - 1 Total",2025-12-18,,Other,AED,Dubai,,95,"This tender requires a consistent price for cleaning services across all designated groups (761), with a total cost of AED 2,000 per year. The prices are identical for each group, reflecting the established pricing structure and ensuring budgetary stability for the municipality.","ai, software, data",HIGH
tender_229644,d.ContractProviding Cleaning Services in Public Parks and Squares - Group 5 (891,Dubai Municipality,": kindly input your total price without VAT in section 3.1.2 and in section 3.4 enter it as per the breakdown
- please note that the prices for both sections should be the same

Dubai Municipality has the right to disqualify your offer if different prices are submitted - 
1: Providing Cleaning Services in Public Parks and Squares - Group 5 (070) - 2026 - 1 Each
2: Providing Cleaning Services in Public Parks and Squares - Group 5 (070) - 2027 - 1 Each
3: Providing Cleaning Services in Public Parks and Squares - Group 5 (076) - 2026 - 1 Each
4: Providing Cleaning Services in Public Parks and Squares - Group 5 (076) - 2027 - 1 Each
5: Providing Cleaning Services in Public Parks and Squares - Group 5 (092) - 2026 - 1 Each
6: Providing Cleaning Services in Public Parks and Squares - Group 5 (092) - 2027 - 1 Each
7: Providing Cleaning Services in Public Parks and Squares - Group 5 (637) - 2026 - 1 Each
8: Providing Cleaning Services in Public Parks and Squares - Group 5 (637) - 2027 - 1 Each
9: Providing Cleaning Services in Public Parks and Squares - Group 5 (640) - 2026 - 1 Each
10: Providing Cleaning Services in Public Parks and Squares - Group 5 (640) - 2027 - 1 Each
11: Providing Cleaning Services in Public Parks and Squares - Group 5 (641) - 2026 - 1 Each
12: Providing Cleaning Services in Public Parks and Squares - Group 5 (641) - 2027 - 1 Each
13: Providing Cleaning Services in Public Parks and Squares - Group 5 (870) - 2026 - 1 Each
14: Providing Cleaning Services in Public Parks and Squares - Group 5 (870) - 2027 - 1 Each
15: Providing Cleaning Services in Public Parks and Squares - Group 5 (871) - 2026 - 1 Each
16: Providing Cleaning Services in Public Parks and Squares - Group 5 (871) - 2027 - 1 Each
17: Providing Cleaning Services in Public Parks and Squares - Group 5 (890) - 2026 - 1 Each
18: Providing Cleaning Services in Public Parks and Squares - Group 5 (890) - 2027 - 1 Each
19: Providing Cleaning Services in Public Parks and Squares - Group 5 (8...",2025-12-18,,Other,AED,Dubai,,0,"** The tender offers a consistent price structure across all five groups, with each group offering a single cleaning service at a fixed cost. This suggests a reliable and potentially cost-effective solution for maintaining public parks and squares, aligning well with the municipality's requirements.","ai, software, data",LOW
